"text","labels","lang"
", ...","1","en"
"!","1, 4, 7","en"
"... And I don't think we need to discuss the Trinity any more .","8, 1","en"
"* So get up out of your bed","1","en"
"A confession that you hired [PERSON] ... and are responsible for my father's murder .","1, 6","en"
"A dead man has one half - hour to raise his roll outside and get back in the game .","1","en"
"A guy that's talking about he's gonna solve all your problems .","1","en"
"A guy who was a pain in the neck even before I carried his stuff .","1","en"
"A hundred of these are produced every day and sent to sweatshops where urban slaves prepare this poison for our friends , our loved ones , our children .","1, 3","en"
"A lady wouldn't work for this outfit .","1","en"
"A little dicey doing a background on an FBI agent .","1","en"
"A little restraint ?","1","en"
"A little rush ?","1","en"
"A lost decade , but it was worth it to make your father pay for my loss .","1","en"
"A lot of junk all right ...","1","en"
"A lot of people are going to pay for this night .","1","en"
"A lot of you incumbents will be in danger of losing your seats .","1","en"
"A man is going to die .","1, 6","en"
"A map's no good in the outback !","1","en"
"A perfect place to lose anybody , but this little doll's our cover story .","1","en"
"A traitor !","1, 3","en"
"A woman who drinks is bad enough and I will not stand for a woman cursing and blaspheming God .","1, 3","en"
"[PERSON] , why don't you just ... Lighten up .","1, 2","en"
"About time !","1","en"
"Absolute disregard to not show up .","1","en"
"Acknowledge , over .","1","en"
"Acts of homicide and cannibalism reported through the afternoon are contributable , at least in part , to these reactivated bodies .","1, 6","en"
"[PERSON] , I don't think it'd be so bad if I taught him how to throw a few ...","1","en"
"[PERSON] , what did I do ?","1","en"
"[PERSON] , where's the kid ?","1","en"
"After that , I don't care if you've found the Holy Grail .","1","en"
"After them ! After them !","1, 2","en"
"After them ... slowly !","1, 2","en"
"Ah , for fuck's sake , mate .","1","en"
"Ah ! - You should listen to your brother .","1, 7","en"
"Ahem . Father brophy was very disturbed .","1, 6","en"
"Ain't gonna get tied down with no girl .","1, 2","en"
"Ain't much you can do about us .","1","en"
"Ain't nobody in the world gonna drive this except me .","1","en"
"Alas ... Scalpel .","1, 2","en"
"[PERSON] , will you let me finish ?","1","en"
"All dead , you mean !","1","en"
"All hands to rescue stations !","1, 2, 4","en"
"All happened on your watch .","1, 3","en"
"All I asked you is where the hell [PERSON] is .","1","en"
"All I can charge him with is riding on a train . They're gonna walk .","1","en"
"All I know is that I'd like to meet a member of the judiciary or a member of Congress that thinks that this situation , the status quo is satisfactory .","1, 3","en"
"All I want to do is make things as difficult as possible .","1","en"
"All I'm saying is maybe all the child needs is to be loved .","8, 1, 2","en"
"All other movements are restricted .","1, 2","en"
"All right , I will !","1","en"
"All right , next time I hear it , I am taking it away .","1","en"
"All right , not now , but you need to hear this .","1","en"
"All right , now , send that woman and her young ' uns out !","1","en"
"All right , [LOCATION] , that's enough .","1","en"
"All right , talk !","1, 2","en"
"All right , what is it if I may ask , You do want to do ?","1","en"
"All right !","1, 2, 5","en"
"All right . I'll talk to [PERSON] .","1","en"
"All right . I've heard enough . I've heard enough .","1, 3","en"
"All right . Let's go .","1, 2","en"
"All that Latino macho shit .","1","en"
"All the officers were disloyal .","1, 3, 6, 7","en"
"All this talk's just wasting time .","1","en"
"All those bottles , of sizes different , completely in the wrong order ...","1","en"
"All those guns and violence ...","1, 3, 4, 6","en"
"All you have to do ... is point her out and look the other way .","1, 3, 7","en"
"All : Ohh , shit .","1, 4","en"
"[PERSON] , what have you done my little sister ?","1","en"
"Alright , have it any way you want !","1, 3","en"
"Alright , knock it off !","1","en"
"Altitude !","1","en"
"Altitude ? - Altitude . You want some altitude ?","1","en"
"Am I okay ? Everybody's worried sick about you .","1","en"
"Am I wrong , Lady ?","8, 1, 2","en"
"Amateur .","1, 3","en"
"An executive order ...","1","en"
"An ... an accident ? Easy , [PERSON] , easy . Watch the rug .","1, 4, 7","en"
"And actresses are treated like I hate to use the word , but , shit .","1, 3, 4, 6","en"
"And all that crap .","1","en"
"And [PERSON] , she won't help me to solve them .","1","en"
"And don't bother sending a bill , either !","1","en"
"And don't mess with nobody's girlfriend .","8, 1","en"
"And don't try anything funny , cos you know what you'll get .","1","en"
"And don't waste none of his time , because he ain't staying around long .","1","en"
"And he waded in there with a lead pipe and he saved your ass and now you're going to deny him over his dead body ?","1","en"
"And how about translators ?","1","en"
"And how do you know that ?","8, 1","en"
"And how is that different than all the times you risked me ?","1","en"
"And I ain't gonna repeat what he said .","1","en"
"And I can't get started .","1","en"
"And I dangled it in front of him and ripped it away .","1, 3, 7","en"
"And I don't care whether you go down with him or not .","1","en"
"And I don't share my husband with anyone !","1","en"
"And I fear no one , Especially an unholy spirit from an unsavory world .","1, 2","en"
"And I hate the way you drive , and I hate your stinking whiskey breath .","1","en"
"And I hate these fucking doughnuts .","1, 3","en"
"And I stormed out .","1","en"
"And I want a list of everybody's budgets , research accounts and financials on my desk by tomorrow .","1","en"
"And I want [PERSON] and [PERSON] ... dead !","1","en"
"And I'll have every gunboat in the Navy hunting ' ole Nemo .","1, 2","en"
"And I'll see you in court in three weeks .","1","en"
"And I'm being asked to brief the CIA director on stuff because he and the president are being lied to ?","1, 7","en"
"And I'm warning you .","1","en"
"And if I refuse to sign it ?","1","en"
"And if there was , I sure as hell wouldn't tell you , colonel .","1","en"
"And if they try to , they'll find you dead .","1","en"
"And if we could find it , it wouldn't have a tear .","1","en"
"And if you don't take me to my hotel , that means I have to walk .","1, 6","en"
"And it changes because the people at the top forget how they got there .","1, 3","en"
"And it is time that the [LOCATION] government started coming clean on what it's all about , because they're very important military and ...","1","en"
"And it's about you , and it's about [PERSON] , and it's about the drinking , and it's about all of it .","1","en"
"And just what do you want me to do ?","1","en"
"And let me remind you , we lost two key PA's in one day .","1","en"
"And now they've lost it .","1, 5, 6","en"
"And now this ?","1","en"
"And one other thing :","1, 2","en"
"And runnin' late as usual .","1","en"
"And see that you get out of town .","1","en"
"And so will you .","1, 2","en"
"And stop fidgeting .","1","en"
"And that they wouldn't hold Backpage responsible was very disturbing to me .","1","en"
"And that's my mother ... running away .","1, 3, 6","en"
"And that's why I don't wan na talk about it if I don't have to .","1","en"
"And the last time you were in my office , you told me you hadn't committed a crime to get the job done .","1","en"
"And the other time .","1, 3","en"
"And the sociopaths that are in control of those programs can't be allowed to speak for planet [LOCATION] .","1, 3, 4","en"
"And then he says , l sure hope he was guilty .  Then he laughs . ","1, 3, 7","en"
"And then he'll run our lives and take our money .","1, 4","en"
"And then I shot him .","1","en"
"And then I'm gonna get this right back .","8, 1, 2, 5","en"
"And there's not a damn thing you can do about it , you understand me ?","1, 6","en"
"And these people in the union are smarter than what they used to be .","1, 3","en"
"And this spic , [PERSON] , what a fucking nut case .","1, 3, 7","en"
"And treat those two impostors Just the same ...  ","1","en"
"And very heavily .","1","en"
"And w - what am I supposed to take your word for being worth ?","1, 3","en"
"And we think it's actually their job and they're not doing it .","1","en"
"And we're finished playing the key cities .","1","en"
"And we're trapped .","1, 7","en"
"And what does he want ?","1","en"
"And what makes you think that note would interest me ?","1","en"
"And what point is that ?","1","en"
"And what sort of rubbish are you turning out now ?","1","en"
"And what will you do then , [PERSON] ?","1","en"
"And when the next plane is shot down , make sure you get the names and ages of the innocent victims right .","1","en"
"And where I come from , you cut a deal with me to make sure I stop looking .","1, 2","en"
"And whoever holds [LOCATION] points a dagger at the heart of [LOCATION] .","1","en"
"And you agree ?","1, 3","en"
"And you also have to cross-modify your judgment that the entire universe was created just as the stage upon which the drama of the human development is unfolding .","1","en"
"And you can't make me .","1","en"
"And you think I don't ?","1, 3","en"
"And you wan na know what else I think ?","1","en"
"And you were going to hate him for the rest of your life .","1","en"
"And you wouldn't give a bent kopeck for his chances , the way he kept admitting over and over that he killed the old lady .","1, 3","en"
"And you wouldn't want to endanger Mr. [PERSON] , would you ?","1, 2, 4","en"
"And you , all the time laughing at me .","1, 3","en"
"And you're gonna have to blow me up too !","1","en"
"And you're shocked because I took credit for your idea .","1","en"
"[PERSON] olla ! , I told him my problem , I told him I loved you and he told me to keep my trap shut .","1","en"
"Another break - in by some ... Sex - crazed man .","1","en"
"Answer my question .","1","en"
"Any decent church would've burnt you bastards years ago .","1, 3","en"
"Any of you guys call me [PERSON] , and I'll kill you .","1","en"
"Anybody can type .","1","en"
"Anyhow , I'm sick a human life was lost .","1","en"
"Anyone who would deface a work of art with a color like that ought to have his ass removed .","1","en"
"Anything else ?","1","en"
"Anything you say can and will be used against you in a court of law .","1","en"
"Anyway , we're late for school .","1, 2","en"
"Anyway , what's it matter to you ?","1, 7","en"
"Anyway , when do you special intelligence officers do what you're supposed to do ?","1","en"
"Anyways , I don't give a damn .","1","en"
"Are my glasses there ? Eh ... no .","1","en"
"Are we gonna rescue an old man or stand here and argue ?","1","en"
"Are we supposed to just sit here and wait ?","1","en"
"Are you blind ?","1","en"
"Are you confessing to this ?","1","en"
"Are you confused ?","1","en"
"Are you crazy ?","1, 7","en"
"Are you dumb ?","1","en"
"Are you fucking crazy ?","1, 3","en"
"Are you going to come or do I have to drag you ?","1","en"
"Are you guys nuts ?","1","en"
"Are you happy now , yeah ?","1","en"
"Are you just about finished ?","1","en"
"Are you kidding me ?","1, 7","en"
"Are you kidding me ? !","1","en"
"Are you kidding ?","1, 7","en"
"Are you listening ?","1","en"
"Are you looking at my hands ?","1","en"
"Are you mocking me ?","1","en"
"Are you off your trolley ?","1","en"
"Are you saying you're insane ? Is that your defense ? - Plus she took a lot of prescription medicine .","1","en"
"Are you telling me he's carrying a. and a. ?","1, 4","en"
"Are you telling me I don't know what a shark looks like ?","1","en"
"Are you telling me not to worry but free the lab when you work everything out ?","1","en"
"Aren't things bad enough without you talking about dying ?","1","en"
"Aren't you ever satisfied ?","1","en"
"Aren't you gonna tell me my sins are forgiven ?","1, 7","en"
"Aren't you human ?","1","en"
"Aren't you supposed to know that ? Isn't that your job ? How could you be stupid enough to let somebody follow you ?","1","en"
"Argh ! Kaili !","1","en"
"Art here saw her fighting him off .","1","en"
"As am I . The black community deserves so much better than [PERSON]'s failed policies .","8, 1, 4","en"
"As he said , it's against the rules .","1","en"
"As I said , sir it all depends how far we're willing to go .","1","en"
"As I told you , it's time we did something about it .","1","en"
"As in ... pointless .","1, 3, 4","en"
"As medical officer , I protest to the way he's being treated .","1","en"
"As much as I would regret saving his .","1","en"
"As you can see , I'm being relieved of command .","1, 2, 6","en"
"As you can see , the available forces have been badly distributed .","1","en"
"As you know , over here , crime is not exploited to sell newspapers .","1, 5","en"
"Ask him what money , asshole .","1","en"
"Ask him !","1","en"
"Asking who I sleep with isn't personal anymore ? What do you want to know , if I smoke ?","1","en"
"Assholes trying to round them up and put them in the back of trucks .","1","en"
"At 10:00 , tomorrow morning , I want you to bring into my office either a letter denying emphatically that your remarks had any mystic implications or a letter of resignation .","1","en"
"At some point , she told me about this guy who used to come around to check on her .","1, 3, 4","en"
"Attention !","1, 2","en"
"Autographed by the criminal himself . Hey , buddy , are you gonna read it or buy it ?","1","en"
"Autumn , get out of here ! Don't fight anymore !","1, 4","en"
"Aw , I'll do what I damn well please .","8, 1, 5","en"
"Aye , yous like to call yourselves opportunists instead of anarchists .","1","en"
"Back down ! - All right , all right , all right .","1, 2, 4","en"
"Back in the village when they made fun of you , I wanted to kill them .","1","en"
"Backpage refused to cooperate with the subcommittee's investigation .","1","en"
"Bad guy .","1, 6, 7","en"
"Bad news . Your father cleaned out your bank account to pay for the damage to his store .","1, 6","en"
"Bastard !","1","en"
"Bastard .","1","en"
"Bastards .","1","en"
"[PERSON] , I'm waiting !","1, 2","en"
"Be a good fellow and get out now .","1","en"
"Be gone , Satan !","1","en"
"Be nice to that girl .","1","en"
"Be quiet !","1","en"
"Be quiet .","1","en"
"Be that as it may , it is a loan .","8, 1","en"
"Because I already have it .","1","en"
"Because I did not want in your life .","1, 3","en"
"Because I do not like you , Mom .","1, 7","en"
"Because I want to .","8, 1, 2, 3","en"
"Because I'm still tired .","1","en"
"Because it didn't work .","1","en"
"Because it hurts my ears when you do it .","1","en"
"Because of your colonel's stubbornness we are far behind schedule .","1","en"
"Because she can't stand him !","1","en"
"Because soon you'll be history . That's enough ! In the name of God ,","1","en"
"Because this could be a threat to all life on [LOCATION] if we are reckless with this issue .","1, 4, 6","en"
