"text","labels","lang"
"Voisimme kävellä niiden ohitse.","9","fi"
"Ruby kuoli 14 vuotta sitten.","6","fi"
"Kuuluisa Jo Conway on luvannut laulaa meille tänään.","2","fi"
"Ette saa loukata ihmisiä tuolla tavalla, toveri Yakushova.","1","fi"
"I really love her and she likes me .","5, 6","en"
"The fairy tale again.","9","en"
"let Mommy's friend sleep.","9","en"
"Se ei tee yhtään fiksummaksi, mutta on mukavampaa muille.","8","fi"
"You can't land here without written permission !","1","en"
"Not too bad .","2, 5","en"
"Olen.","9","fi"
"I'm not deciding for you .","1","en"
"Ota minut mukaasi.","9","fi"
"I was never really sure which one I got , nutrition or discipline .","6","en"
"How's she doing?","9","en"
"I'll do one for you . How about that ?","8, 2","en"
"[PERSON] , I'm gonna kill you , you murdering son of a bitch !","3","en"
"Freeing you up to play the victim.","9","en"
"Olet oikea amerikkalainen kovanaama.","9","fi"
"Bibbidi... Bobbidi... Boo.","9","en"
"Tulin auttamaan sinua.","9","fi"
"You are the most incredible creature I've ever met .","5","en"
"Nipin napin.","9","fi"
"Tee nyt toivomus sydämestäsi.","8","fi"
"Look.","9","en"
"Any word on where he is now?","9","en"
"Thirteen weeks three days seven hours and twelve minutes.","9","en"
"Mikä tyyppi.","3","fi"
"Olen kuullut teistä paljon.","9","fi"
"Siellä on loistava kokki.","5","fi"
"Anna minun mennä Versaillesiin.","9","fi"
"General , our discoveries will change the outcome of the war .","2","en"
"Couldn't we have something brought in on trays like big executives ?","2","en"
"Ellet sinä halua niitä.","9","fi"
"Tulet rikospaikalle. Et tiedä ketä ampua.","9","fi"
"Luchino!","9","fi"
"Siitä onkin jo aikaa.","9","fi"
"Soitan, kun pääsen perille.","2","fi"
"I want this election to be between me and Francis Underwood.","9","en"
"Tuo on täyttä kusetusta.","3","fi"
"Tuohon kaappiin.","9","fi"
"Where'd they go ?","2, 7","en"
"Puolustakaa itseänne!","4","fi"
"Sinä heität lahjasi hukkaan.","1, 4","fi"
"I owe him a lot .","8","en"
"Mitä taikuutta tämä on?","9","fi"
"Hey Tom.","9","en"
"Lainaan tarvitaan aina takaaja.","9","fi"
"He ovat mitä mainioimpia todistajia.","9","fi"
"I'm sure that in all [LOCATION] there's no empathicalist as charming as you .","5","en"
"En kai osaa suhtautua kritiikkiin, mutta olen toissä toista päivää ja tämä on jo toinen huomautus.","1, 6","fi"
"Convince yourself that way.","9","en"
"Muiden pitää luulla minun saaneen vauvan.","9","fi"
"Olet...","9","fi"
"I'm going to [LOCATION] with a million bucks taped to my butt unless you keep screwing around , in which case , we'll all go to jail .","1, 3, 4","en"
"I'll be here for a couple of days and I'd love to see you .","2","en"
"What's all the celebrating ?","7","en"
"Ei viestiä kukkien kanssa tai kirjeitä?","9","fi"
"Only two chicks but we can share...","9","en"
"Haluun vain mennä kotiin, onko selvä?","8, 3","fi"
"Luuletko että joku avasi ikkunat, jotta tapaus näyttäisi murrolta?","2","fi"
"Mutta siellä ei ollut ketään Katjaa.","6","fi"
"We just having a little fun .","5","en"
"Tell me what [PERSON] was doing with a bribery file .","7","en"
"En ole rosvo.","1","fi"
"Hengityksesi löyhkää siltä.","3","fi"
"Laitan sinulle jotain syötävää ja soitan Hankille, ettemme ole tulossa.","8","fi"
"Something very unusual has happened .","7","en"
"Älä riehu!","1","fi"
"Etkö huomannut pessaaria ruumiinavauksessa?","7","fi"
"Now , that ... that would be unexpected .","7","en"
"She died trying to save my daughter .","6, 7","en"
"Bob. Bob.","8, 1, 6","fi"
"She told about a mother who was full of hate , and how she got back the hate she gave .","6","en"
"Naapurit pitävät toisistaan, puhuvat toisilleen, välittävät siitä, elääkö joku vai kuoleeko.","1","fi"
"Mitä sanot suunnitelmastani?","9","fi"
"Hey dad it's Bethany.","9","en"
"Nosta lämpötilaa jolloin siinä voi uida.","9","fi"
"Minkä heimojen?","9","fi"
"Ajattelin että illastamme ulkona.","9","fi"
"Oh yeah?","9","en"
"Mutta Woodstockista Charles Bronsoniksi 20 vuodessa...","8, 7","fi"
"You're going bald too .","6","en"
"Hyvä nähdä, että olet vielä maisemissa.","5","fi"
"It might get infected .","4","en"
"And then I - I don't know what happened .","6","en"
"Yes , it is romantic .","5","en"
"Milloin se kuoli?","9","fi"
"Haasta Balboa otteluun.","1, 2","fi"
"Well , like I said , right now , I've got a bigger problem .","6","en"
"They're armed .","2, 4","en"
"They're not to come here , you understand ?","4","en"
"Shakkipelissä ei ole valeita.","9","fi"
"Voin hankkia siirron, sir.","8","fi"
"Ala tulla poika.","9","fi"
"Voitte palata töihin.","8","fi"
"Mitä teet täällä Vinnie?","9","fi"
"Tytär!","9","fi"
"Kaikki uhrit ovat tasaväkisiä.","9","fi"
"What's going on ? We need to talk . That's all .","1, 3","en"
"Mistä sait rahat?","7","fi"
"No not Hastings.","9","en"
"Somebody help me !","4","en"
"You mean a little kid kinda boy?","9","en"
"Kaikki hyvin.","8, 5","fi"
"Civilians this time.","9","en"
"Oh , how lovely .","5","en"
"Iltapäivää herra Cochran.","9","fi"
"Suunnitteletko vielä sitä hommaa?","7","fi"
"Entä kääntäjät?","9","fi"
"Rampertin Yksinäinen Tähti.","9","fi"
"We've yet to be formally introduced.","9","en"
"in a fan letter.","9","en"
"And the longer you go the lower you go.","9","en"
"Authors used the explosives and tear gas taltuttaakseen guards.","9","en"
"How wonderful !","5","en"
"Nähdään pian, vai?","2, 5","fi"
"He's not dead.","9","en"
"En vastaa silloin.","1, 2","fi"
"Haluatteko sanoa yleisölle jotain?","9","fi"
"What I feel towards you I'll have to feel for the rest of my life .","6","en"
"Yes , I come back , baby .","8, 2","en"
"Laskekaa minut alas.","9","fi"
"There's plenty of money on you too .","2","en"
"Get along with it .","1","en"
"Katso ihmeessä ympärillesi.","2","fi"
"I don't know.","9","en"
"Näytät upealta.","8, 5","fi"
"He eivät aio antaa rahoja.","9","fi"
"Your officers will work beside you .","8","en"
"My grandma's really sick ,","4, 6","en"
"Anna se tänne.","9","fi"
"He keräävät tammenterhoja ja tekevät niistä kahvia.","9","fi"
"Anything to drink gentlemen?","9","en"
"Tee olosi mukavaksi.","8","fi"
"I...","9","en"
"The girl is my concern , not yours .","1","en"
"Mistä tunnen sen Lombinon nimen?","9","fi"
"It does matter.","9","en"
"It's not all a lie , [PERSON] .","1, 6, 7","en"
"Paitsi että meille ei tule lasta.","9","fi"
"It looks like Johnny's here.","9","en"
"Olen aina uskonut häneen.","8","fi"
"Faith.","8","fi"
"Avoimuus.","9","fi"
"You bring him !","1","en"
"You're like all the rest of them you gotta be in love.","9","en"
"Sitä paitsi menen niille typerille seniori-illallisille.","1","fi"
"Some money?","9","en"
"It was fine . You've been away all this time ?","7","en"
"But , they might be ready to make a go of it on their own .","8, 2, 5","en"
"Aaveitako?","9","fi"
"It cheered me up infinitamente .","5","en"
"Vihaat minunlaisiani miehiä, eikö totta?","1, 2","fi"
"Pelkäsin, että minun tiedettäisiin olevan elossa.","4","fi"
"Oletko sinä joku tirkistelijä?","3","fi"
"No doubt the fellow is an impostor .","3","en"
"Not truly knowing how much I loved her.","9","en"
"Rakkautta ensisilmäyksellä.","5","fi"
"Laukauskin ja ammun sinut kahtia.","1","fi"
"I see 'em walking around the streets depressed all the time .","6","en"
"Just to tell you that I'm happy .","5","en"
"Kolme autoa.","9","fi"
"Haluaisin tietää missä olisitte jos emme olisi päästäneet teitä sisään.","9","fi"
"Did you get drunk , dance in your underwear , and sing sea shanties ?","1, 3","en"
"Ei kyyhkynä.","9","fi"
"Tulin tarjoamaan rauhaa kuningas Menelaokselle.","8","fi"
"Do I have something on my face ?","4","en"
"Olin silloin vasta lapsi.","4, 6","fi"
"Bring those bulbs back here!","9","en"
"All right . - Okay . - It was nice to meet you , mark .","5","en"
